experiment_id,horizon,cost_mode,rolling_method,possible_window_count,window_start,window_end,target_300_hit,target_400_hit,target_600_hit,target_900_hit,target_1200_hit,stop_hit,final_equity,worst_drawdown,component_primary_id_if_available,component_secondary_id_if_available,component_primary_contribution_if_available,component_secondary_contribution_if_available,component_bil_contribution_if_available,component_contribution_status,worst_drawdown_start_if_available,worst_drawdown_end_if_available,worst_drawdown_window_id_if_available,filter_binding_status,filter_weight_difference_days,filter_weights_identical_to_base,filter_window_total_abs_weight_difference,base_commodity_target_300_hit,incremental_300_vs_base_commodity,base_commodity_target_400_hit,incremental_400_vs_base_commodity,base_commodity_final_equity,base_commodity_worst_drawdown,base_commodity_worst_drawdown_start,base_commodity_worst_drawdown_end,drawdown_overlap_vs_base_commodity_if_available,drawdown_overlap_rate_vs_base_commodity_if_available,combo_target_300_hit,incremental_300_vs_combo,combo_target_400_hit,incremental_400_vs_combo,combo_final_equity,combo_worst_drawdown,combo_worst_drawdown_start,combo_worst_drawdown_end,drawdown_overlap_vs_combo_if_available,drawdown_overlap_rate_vs_combo_if_available,top2_target_300_hit,incremental_300_vs_top2,top2_target_400_hit,incremental_400_vs_top2,top2_final_equity,top2_worst_drawdown,top2_worst_drawdown_start,top2_worst_drawdown_end,drawdown_overlap_vs_top2_if_available,drawdown_overlap_rate_vs_top2_if_available,spy200d_target_300_hit,incremental_300_vs_spy200d,spy200d_target_400_hit,incremental_400_vs_spy200d,spy200d_final_equity,spy200d_worst_drawdown,spy200d_worst_drawdown_start,spy200d_worst_drawdown_end,drawdown_overlap_vs_spy200d_if_available,drawdown_overlap_rate_vs_spy200d_if_available,gld_target_300_hit,incremental_300_vs_gld,gld_target_400_hit,incremental_400_vs_gld,gld_final_equity,gld_worst_drawdown,gld_worst_drawdown_start,gld_worst_drawdown_end,drawdown_overlap_vs_gld_if_available,drawdown_overlap_rate_vs_gld_if_available
commodity_basket_tsmom_top2_200d_filter_v1,90,standard,deterministic_stratified_sample,5021,2026-01-21,2026-05-29,True,True,True,True,False,False,3583.6705700241214,-326.8287738337958,,,unavailable,unavailable,unavailable,not_applicable_weighted_model,2026-04-06,2026-04-17,2026-04-06_to_2026-04-17,available,0,True,0.0,True,False,True,False,3583.6705700241214,-326.8287738337958,2026-04-06,2026-04-17,True,1.0,False,True,False,True,3016.799706426428,-404.61858990477504,2026-01-29,2026-03-26,False,0.72,False,True,False,True,2930.268297883078,-411.4300443900984,2026-01-29,2026-03-26,False,0.72,False,True,False,True,3193.4204703525243,-200.1522263156362,2026-01-27,2026-03-25,False,0.16,True,False,False,True,2732.46169737859,-644.2288859605046,2026-01-29,2026-03-26,False,1.0
commodity_basket_tsmom_top2_200d_filter_v1,180,standard,deterministic_stratified_sample,4931,2006-02-06,2006-10-20,False,False,False,False,False,False,2998.5,-1.5,,,unavailable,unavailable,unavailable,not_applicable_weighted_model,2006-02-06,2006-02-07,2006-02-06_to_2006-02-07,available,20,False,20.0,False,False,False,False,2919.69873364517,-117.63051682053037,2006-02-06,2006-09-20,True,0.0,False,False,False,False,3000.0,0.0,2006-02-06,2006-02-06,True,0.0,False,False,False,False,2998.5,-1.5,2006-02-06,2006-02-07,True,0.0,False,False,False,False,3000.0,0.0,2006-02-06,2006-02-06,True,0.0,False,False,False,False,3000.0,0.0,2006-02-06,2006-02-06,True,0.0
commodity_basket_tsmom_top2_200d_filter_v1,180,standard,deterministic_stratified_sample,4931,2007-02-26,2007-11-08,True,True,True,False,False,False,3704.6589169004396,-199.2215886289946,,,unavailable,unavailable,unavailable,not_applicable_weighted_model,2007-07-13,2007-08-21,2007-07-13_to_2007-08-21,available,0,True,0.0,True,False,True,False,3704.6589169004396,-199.2215886289946,2007-07-13,2007-08-21,True,1.0,False,True,False,True,3253.472177841269,-114.97020345618466,2007-02-26,2007-03-05,False,0.0,False,True,False,True,3147.2294522947886,-15.552552896892848,2007-08-21,2007-08-27,True,0.0,False,True,False,True,2908.3960109091136,-148.02918529474164,2007-10-31,2007-11-08,False,0.0,True,False,True,False,3622.4671894015705,-227.75322840469607,2007-02-26,2007-03-05,False,0.6666666666666666
commodity_basket_tsmom_top2_200d_filter_v1,180,standard,deterministic_stratified_sample,4931,2007-03-21,2007-12-04,True,True,True,False,False,False,3607.7566575076203,-201.68827614373276,,,unavailable,unavailable,unavailable,not_applicable_weighted_model,2007-07-13,2007-08-21,2007-07-13_to_2007-08-21,available,0,True,0.0,True,False,True,False,3607.7566575076203,-201.68827614373276,2007-07-13,2007-08-21,True,1.0,True,False,False,True,3197.02086476704,-168.4888880900121,2007-11-06,2007-11-19,False,0.0,False,True,False,True,3143.4069801553605,-87.76248347677529,2007-11-26,2007-11-30,False,0.0,False,True,False,True,2809.753543242906,-246.67165296094936,2007-10-31,2007-12-04,False,0.14285714285714285,True,False,True,False,3618.960888514977,-231.5404758391478,2007-04-20,2007-06-26,False,0.5714285714285714
commodity_basket_tsmom_top2_200d_filter_v1,180,standard,deterministic_stratified_sample,4931,2007-09-24,2008-06-10,True,True,True,True,True,False,4609.583320650829,-398.6114383063541,,,unavailable,unavailable,unavailable,not_applicable_weighted_model,2008-03-13,2008-03-20,2008-03-13_to_2008-03-20,available,0,True,0.0,True,False,True,False,4609.583320650829,-398.6114383063541,2008-03-13,2008-03-20,True,1.0,True,False,False,True,3070.008172146463,-292.30013254299547,2008-03-17,2008-06-10,True,0.2777777777777778,True,False,True,False,3240.767293731435,-330.33049666708894,2008-03-17,2008-05-02,True,0.3888888888888889,False,True,False,True,2626.925809769656,-395.8630355019295,2007-10-31,2008-05-22,True,1.0,True,False,True,False,3486.0265335737713,-630.0498296158166,2008-03-17,2008-05-01,True,0.6666666666666666
commodity_basket_tsmom_top2_200d_filter_v1,180,standard,deterministic_stratified_sample,4931,2008-10-28,2009-07-16,False,False,False,False,False,False,2931.122139732932,-132.06788900530455,,,unavailable,unavailable,unavailable,not_applicable_weighted_model,2009-04-24,2009-07-10,2009-04-24_to_2009-07-10,available,32,False,32.0,False,False,False,False,2755.9494160609597,-367.0887718590834,2009-06-11,2009-07-10,True,0.0,True,False,True,False,3393.2833926984954,-244.04882931361317,2009-06-02,2009-07-08,True,0.0,True,False,True,False,3181.0913744584136,-362.4404888563172,2008-12-30,2009-07-08,True,0.0,False,False,False,False,3037.461678907396,-214.84746569441813,2009-06-12,2009-07-10,True,0.0,True,False,True,False,3739.5311918574034,-511.4514842785775,2009-02-20,2009-04-17,False,0.0
commodity_basket_tsmom_top2_200d_filter_v1,180,standard,deterministic_stratified_sample,4931,2008-10-29,2009-07-17,False,False,False,False,False,False,2956.201970004007,-132.2117113278896,,,unavailable,unavailable,unavailable,not_applicable_weighted_model,2009-04-24,2009-07-10,2009-04-24_to_2009-07-10,available,33,False,33.0,False,False,False,False,2797.381297201247,-367.48853261971453,2009-06-11,2009-07-10,True,0.0,True,False,True,False,3407.9519501442,-243.8344886410141,2009-06-02,2009-07-08,True,0.0,True,False,True,False,3192.969191287619,-361.90981805120055,2008-12-30,2009-07-08,True,0.0,False,False,False,False,3074.080977201142,-215.0814352213829,2009-06-12,2009-07-10,True,0.0,True,False,True,False,3726.891904263882,-510.00007423194756,2009-02-20,2009-04-17,False,0.0
commodity_basket_tsmom_top2_200d_filter_v1,180,standard,deterministic_stratified_sample,4931,2008-10-30,2009-07-20,False,False,False,False,False,False,2976.1095627025134,-132.03911294875297,,,unavailable,unavailable,unavailable,not_applicable_weighted_model,2009-04-24,2009-07-10,2009-04-24_to_2009-07-10,available,34,False,34.0,False,False,False,False,2846.0744644923534,-367.00878748636296,2009-06-11,2009-07-10,True,0.0,True,False,True,False,3479.128301885466,-245.8164165191979,2009-06-02,2009-07-08,True,0.0,True,False,True,False,3258.3403189284995,-364.7042692948421,2008-12-30,2009-07-08,True,0.0,False,False,False,False,3102.6831154925894,-214.80065293115467,2009-06-12,2009-07-10,True,0.0,True,False,True,False,3848.714067686612,-519.0483560496086,2009-02-20,2009-04-17,False,0.0
commodity_basket_tsmom_top2_200d_filter_v1,180,standard,deterministic_stratified_sample,4931,2008-10-31,2009-07-21,False,False,False,False,False,False,2973.9657825024315,-132.1829272802206,,,unavailable,unavailable,unavailable,not_applicable_weighted_model,2009-04-24,2009-07-10,2009-04-24_to_2009-07-10,available,35,False,35.0,False,False,False,False,2846.9953106726307,-367.40852603531675,2009-06-11,2009-07-10,True,0.0,True,False,True,False,3519.44782379913,-248.29063364371132,2009-06-02,2009-07-08,True,0.0,True,False,True,False,3269.93637463464,-365.4509325097156,2008-12-30,2009-07-08,True,0.0,False,False,False,False,3120.4281799420323,-215.0346094582037,2009-06-12,2009-07-10,True,0.0,True,False,True,False,3916.3163176651638,-529.016083970826,2009-02-20,2009-04-17,False,0.0
commodity_basket_tsmom_top2_200d_filter_v1,180,standard,deterministic_stratified_sample,4931,2008-11-03,2009-07-22,False,False,False,False,False,False,2983.2267165636913,-132.2203188789972,,,unavailable,unavailable,unavailable,not_applicable_weighted_model,2009-04-24,2009-07-10,2009-04-24_to_2009-07-10,available,36,False,36.0,False,False,False,False,2852.092770455932,-367.51245770391824,2009-06-11,2009-07-10,True,0.0,True,False,True,False,3531.376708450599,-248.74421118533155,2009-06-02,2009-07-08,True,0.0,True,False,True,False,3269.809076294155,-364.86759632117446,2008-12-30,2009-07-08,True,0.0,False,False,False,False,3120.657907804127,-215.09543794797492,2009-06-12,2009-07-10,True,0.0,True,False,True,False,3942.6162213807816,-530.8017764149549,2009-02-20,2009-04-17,False,0.0
commodity_basket_tsmom_top2_200d_filter_v1,180,standard,deterministic_stratified_sample,4931,2008-11-05,2009-07-24,False,False,False,False,False,False,3012.226968495727,-132.10514723185497,,,unavailable,unavailable,unavailable,not_applicable_weighted_model,2009-04-24,2009-07-10,2009-04-24_to_2009-07-10,available,38,False,38.0,False,False,False,False,2927.525418649047,-367.1923328134476,2009-06-11,2009-07-10,True,0.0,True,False,True,False,3531.441455784202,-245.56644661465634,2009-06-02,2009-07-08,True,0.0,True,False,False,False,3255.763265326352,-358.6524485122559,2008-12-30,2009-07-08,True,0.0,False,False,False,False,3199.8452600423457,-214.90807721483498,2009-06-12,2009-07-10,True,0.0,True,False,True,False,3849.313176362039,-518.4066471306669,2009-02-20,2009-04-17,False,0.0
commodity_basket_tsmom_top2_200d_filter_v1,180,standard,deterministic_stratified_sample,4931,2009-05-12,2010-01-27,True,False,False,False,False,False,2968.325863512915,-358.3220379035174,,,unavailable,unavailable,unavailable,not_applicable_weighted_model,2010-01-06,2010-01-27,2010-01-06_to_2010-01-27,available,44,False,44.0,True,False,False,False,2946.954752721482,-366.6163150152238,2009-06-11,2009-07-10,False,1.0,True,False,True,False,3579.363790149371,-218.66499090063326,2009-06-02,2009-07-08,False,0.125,True,False,True,False,3471.4586619087067,-234.77987594231354,2009-05-29,2009-07-08,False,0.125,True,False,True,False,3614.696535148224,-214.5709490495783,2009-06-12,2009-07-10,False,0.041666666666666664,True,False,True,False,3523.594344995004,-430.3198205283702,2009-12-02,2009-12-22,False,0.3541666666666667
commodity_basket_tsmom_top2_200d_filter_v1,180,standard,deterministic_stratified_sample,4931,2010-12-28,2011-09-13,True,True,False,False,False,True,2855.594881210504,-628.4149140209402,,,unavailable,unavailable,unavailable,not_applicable_weighted_model,2011-04-08,2011-08-08,2011-04-08_to_2011-08-08,available,43,False,43.0,True,False,True,False,2781.3508864204277,-641.7386789998295,2011-04-08,2011-08-08,True,1.0,True,False,True,False,3450.951756299975,-173.92202629234043,2011-04-29,2011-06-24,True,0.021505376344086023,True,False,True,False,3592.6572407964645,-173.92202629234362,2011-04-29,2011-06-24,True,0.021505376344086023,False,True,False,True,3024.3302262218604,-251.3993996986719,2011-04-29,2011-08-22,True,0.5053763440860215,True,False,True,False,3903.3666746359568,-282.9034177151848,2011-08-22,2011-08-24,False,0.053763440860215055
commodity_basket_tsmom_top2_200d_filter_v1,180,standard,deterministic_stratified_sample,4931,2011-10-31,2012-07-18,False,False,False,False,False,False,2471.608438885332,-538.5359004527772,,,unavailable,unavailable,unavailable,not_applicable_weighted_model,2011-11-10,2012-06-19,2011-11-10_to_2012-06-19,available,0,True,0.0,False,False,False,False,2471.608438885332,-538.5359004527772,2011-11-10,2012-06-19,True,1.0,False,False,False,False,2901.249451149975,-340.47197700205334,2011-11-07,2011-12-28,True,0.7580645161290323,False,False,False,False,3043.938690958822,-202.9799987782767,2011-11-07,2011-12-29,True,0.08064516129032258,False,False,False,False,3044.9302521890563,-302.9894808469271,2012-04-02,2012-06-04,True,0.4838709677419355,False,False,False,False,2743.8151022076327,-457.5114659762876,2011-11-07,2012-05-16,True,1.0
commodity_basket_tsmom_top2_200d_filter_v1,180,standard,deterministic_stratified_sample,4931,2012-03-23,2012-12-10,False,False,False,False,False,False,2473.5898754772115,-532.2975598269313,,,unavailable,unavailable,unavailable,not_applicable_weighted_model,2012-03-26,2012-12-10,2012-03-26_to_2012-12-10,available,5,False,5.0,False,False,False,False,2428.4740060849713,-577.4134292191716,2012-03-26,2012-12-10,True,1.0,False,False,False,False,3054.790294134054,-232.28803931365792,2012-03-26,2012-05-16,True,0.29605263157894735,False,False,False,False,3043.41592211871,-152.4850571173315,2012-10-04,2012-11-15,True,0.0,False,False,False,False,3015.685676418996,-295.16634664750745,2012-04-02,2012-06-04,True,0.35526315789473684,False,False,False,False,3079.3042339762897,-277.4714411351556,2012-03-26,2012-05-16,True,0.3684210526315789
commodity_basket_tsmom_top2_200d_filter_v1,180,standard,deterministic_stratified_sample,4931,2012-08-14,2013-05-03,False,False,False,False,False,False,2898.4603871561303,-179.60621937697897,,,unavailable,unavailable,unavailable,not_applicable_weighted_model,2013-02-05,2013-04-11,2013-02-05_to_2013-04-11,available,20,False,20.0,False,False,False,False,2887.332503938006,-178.91666810922925,2013-02-05,2013-03-08,True,1.0,False,False,False,False,3069.3693351520224,-350.3339140000003,2012-10-04,2013-04-15,True,0.391304347826087,False,False,False,False,3087.8871226130564,-149.86890547294388,2012-10-04,2012-11-15,False,0.0,True,False,True,False,3409.624908185598,-230.1031284969322,2012-09-14,2012-11-20,False,0.0,True,False,False,False,2539.3539629768043,-818.0236263844386,2012-10-04,2013-04-15,True,1.0
commodity_basket_tsmom_top2_200d_filter_v1,180,standard,deterministic_stratified_sample,4931,2014-04-04,2014-12-18,False,False,False,False,False,False,2912.5611623563523,-212.6730076380618,,,unavailable,unavailable,unavailable,not_applicable_weighted_model,2014-06-20,2014-12-15,2014-06-20_to_2014-12-15,available,21,False,42.0,False,False,False,False,2878.021173142439,-250.9948803877778,2014-06-20,2014-08-19,True,1.0,False,False,False,False,3024.122758221908,-212.25405216212448,2014-07-11,2014-11-05,True,0.26732673267326734,False,False,False,False,3167.4732685764393,-124.45701660666509,2014-07-11,2014-10-16,True,0.0,True,False,False,False,3302.0123369145463,-222.57678288171746,2014-09-18,2014-10-14,True,0.0891089108910891,False,False,False,False,2751.055231481979,-453.69111833849047,2014-07-11,2014-11-05,True,0.7623762376237624
